Authors,Gas holdup,Column diameter(m),Liquid height (m),Sparger hole diameter (m),Sparger Encode,%FA,Density of Gas (kg/m3),Viscosity of Gas (Pa.s),Molecular Weight of gas (kg/kmol),Density of Liquid (kg/m3),Viscosity of Liquid (Pa.s),Surface Tension of Liquid (N/m),i+ (k.ion/m3),Temperature (K),Pressure (kPa),Superficial gas velocity (m/s)
Braulick et al 1965,0.0294,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0172
Braulick et al 1965,0.0414,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0261
Braulick et al 1965,0.0601,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0347
Braulick et al 1965,0.0795,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0423
Braulick et al 1965,0.0945,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0511
Braulick et al 1965,0.1054,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0595
Braulick et al 1965,0.128,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0683
Braulick et al 1965,0.1451,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0787
Braulick et al 1965,0.152,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0855
Braulick et al 1965,0.1901,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0994
Braulick et al 1965,0.197,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1135
Braulick et al 1965,0.2245,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1274
Braulick et al 1965,0.255,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.155
Braulick et al 1965,0.259,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1544
Braulick et al 1965,0.2658,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1696
Braulick et al 1965,0.2952,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1843
Braulick et al 1965,0.3314,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.2094
Braulick et al 1965,0.3536,0.1,0.4,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.2418
Braulick et al 1965,0.0588,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0256
Braulick et al 1965,0.084,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0358
Braulick et al 1965,0.1004,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0428
Braulick et al 1965,0.117,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0521
Braulick et al 1965,0.1454,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0601
Braulick et al 1965,0.1661,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0699
Braulick et al 1965,0.185,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0788
Braulick et al 1965,0.1955,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0881
Braulick et al 1965,0.215,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.0933
Braulick et al 1965,0.2439,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1088
Braulick et al 1965,0.285,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.125
Braulick et al 1965,0.3217,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1437
Braulick et al 1965,0.3528,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.1599
Braulick et al 1965,0.399,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.178
Braulick et al 1965,0.407,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.195
Braulick et al 1965,0.435,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.209
Braulick et al 1965,0.46,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.236
Braulick et al 1965,0.488,0.1,0.7,0.00367,4,0.538756,1.18,1.81E-05,28.84,1010,0.0011,0.073,1.5,298,100,0.252
Yoshida_Akita_1965,0.0287,0.152,1.408403163,0.0171,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0082
Yoshida_Akita_1965,0.02,0.152,1.421068696,0.0171,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0077
Yoshida_Akita_1965,0.0355,0.152,1.398552059,0.0171,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0153
Yoshida_Akita_1965,0.1363,0.152,1.252310598,0.0171,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.065
Yoshida_Akita_1965,0.1599,0.152,1.218146233,0.0171,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0826
Yoshida_Akita_1965,0.02,0.301,1.176,0.0148,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.009
Yoshida_Akita_1965,0.037,0.301,1.1556,0.0148,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0153
Yoshida_Akita_1965,0.055,0.301,1.134,0.0148,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0236
Yoshida_Akita_1965,0.11,0.301,1.068,0.0148,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0278
Yoshida_Akita_1965,0.135,0.301,1.038,0.0148,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0556
Yoshida_Akita_1965,0.2,0.301,0.96,0.0148,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0917
Yoshida_Akita_1965,0.023,0.301,1.846624406,0.03,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0115
Yoshida_Akita_1965,0.0524,0.301,1.791009239,0.03,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0211
Yoshida_Akita_1965,0.1531,0.301,1.600668854,0.03,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0763
Yoshida_Akita_1965,0.0452,0.6,3.5,0.04,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0139
Yoshida_Akita_1965,0.1687,0.6,3.5,0.04,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0689
Yoshida_Akita_1965,0.0704,0.6,3.5,0.04,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0225
Yoshida_Akita_1965,0.1987,0.6,3.5,0.04,2,1,1.18,1.81E-05,28.84,1015,0.0011,0.073,0.45,293,100,0.0954
Reith et al 1967,0.069,0.14,3.28627821,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0192
Reith et al 1967,0.0985,0.14,3.18228088,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0313
Reith et al 1967,0.1188,0.14,3.1104948,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0444
Reith et al 1967,0.1392,0.14,3.0387299,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0566
Reith et al 1967,0.1524,0.14,2.9921339,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0586
Reith et al 1967,0.1677,0.14,2.9381249,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0798
Reith et al 1967,0.1809,0.14,2.8914583,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0889
Reith et al 1967,0.2206,0.14,2.7512114,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.1323
Reith et al 1967,0.2543,0.14,2.6324975,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.1727
Reith et al 1967,0.3003,0.14,2.4700116,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.2697
Reith et al 1967,0.3504,0.14,2.2931233,0.002,3,3.142857143,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.3707
Reith et al 1967,0.0934,0.29,3.20018151,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0313
Reith et al 1967,0.1473,0.29,3.010031,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0596
Reith et al 1967,0.1687,0.29,2.9345243,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.0828
Reith et al 1967,0.185,0.29,2.87695,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.102
Reith et al 1967,0.2095,0.29,2.7904297,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.1434
Reith et al 1967,0.2513,0.29,2.6428051,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.202
Reith et al 1967,0.2891,0.29,2.509477,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.2636
Reith et al 1967,0.3056,0.29,2.4514085,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.3172
Reith et al 1967,0.3352,0.29,2.346744,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.3768
Reith et al 1967,0.3629,0.29,2.2491395,0.002,3,3.139120095,1.18,1.81E-05,28.84,1000,0.001,0.072,0,296,100,0.4434
Reith et al 1967,0.2499,0.29,2.6477118,0.002,3,3.139120095,1.18,1.81E-05,28.84,1090,0.00115,0.077,2.395,296,100,0.1091
Reith et al 1967,0.2856,0.29,2.5217967,0.002,3,3.139120095,1.18,1.81E-05,28.84,1090,0.00115,0.077,2.395,296,100,0.1535
Reith et al 1967,0.3447,0.29,2.3132796,0.002,3,3.139120095,1.18,1.81E-05,28.84,1090,0.00115,0.077,2.395,296,100,0.2141
Reith et al 1967,0.3906,0.29,2.1512526,0.002,3,3.139120095,1.18,1.81E-05,28.84,1090,0.00115,0.077,2.395,296,100,0.2768
Reith et al 1967,0.4213,0.29,2.0429875,0.002,3,3.139120095,1.18,1.81E-05,28.84,1090,0.00115,0.077,2.395,296,100,0.3374
Reith et al 1967,0.4489,0.29,1.9454536,0.002,3,3.139120095,1.18,1.81E-05,28.84,1090,0.00115,0.077,2.395,296,100,0.398
Reith et al 1967,0.4785,0.29,1.8407538,0.002,3,3.139120095,1.18,1.81E-05,28.84,1090,0.00115,0.077,2.395,296,100,0.4606
Ohki and Inque 1970,0.1267,0.16,2.619786096,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0366
Ohki and Inque 1971,0.1572,0.16,2.528342246,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0442
Ohki and Inque 1972,0.1668,0.16,2.499465241,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0545
Ohki and Inque 1973,0.162,0.16,2.513903743,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0647
Ohki and Inque 1974,0.1604,0.16,2.518716578,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0754
Ohki and Inque 1975,0.1647,0.16,2.505882353,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0835
Ohki and Inque 1976,0.1733,0.16,2.480213904,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0955
Ohki and Inque 1977,0.1952,0.16,2.414438503,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1211
Ohki and Inque 1978,0.2134,0.16,2.359893048,0.0007,3,0.070820313,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1407
Ohki and Inque 1979,0.107,0.16,2.679144385,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0375
Ohki and Inque 1980,0.1321,0.16,2.603743316,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0596
Ohki and Inque 1981,0.1465,0.16,2.560427807,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0754
Ohki and Inque 1982,0.1647,0.16,2.505882353,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0891
Ohki and Inque 1983,0.1802,0.16,2.459358289,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1066
Ohki and Inque 1984,0.1995,0.16,2.401604278,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1318
Ohki and Inque 1985,0.2096,0.16,2.371122995,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1463
Ohki and Inque 1986,0.2214,0.16,2.335828877,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1591
Ohki and Inque 1987,0.2326,0.16,2.302139037,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1757
Ohki and Inque 1988,0.2439,0.16,2.268449198,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1903
Ohki and Inque 1989,0.2492,0.16,2.252406417,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.2082
Ohki and Inque 1990,0.2626,0.16,2.212299465,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.2265
Ohki and Inque 1991,0.2679,0.16,2.196256684,0.002,3,0.578125,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.2415
Ohki and Inque 1992,0.1642,0.16,2.507486631,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0438
Ohki and Inque 1993,0.1898,0.16,2.430481283,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.051
Ohki and Inque 1994,0.2059,0.16,2.382352941,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0578
Ohki and Inque 1995,0.2166,0.16,2.35026738,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0706
Ohki and Inque 1996,0.2107,0.16,2.367914439,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0783
Ohki and Inque 1997,0.1995,0.16,2.401604278,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.0916
Ohki and Inque 1998,0.2021,0.16,2.393582888,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1057
Ohki and Inque 1999,0.2064,0.16,2.380748663,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1172
Ohki and Inque 2000,0.2107,0.16,2.367914439,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1309
Ohki and Inque 2001,0.2166,0.16,2.35026738,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.145
Ohki and Inque 2002,0.2251,0.16,2.32459893,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1535
Ohki and Inque 2003,0.2353,0.16,2.294117647,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1685
Ohki and Inque 2004,0.2508,0.16,2.247593583,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1843
Ohki and Inque 2005,0.2481,0.16,2.255614973,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1894
Ohki and Inque 2006,0.2492,0.16,2.252406417,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.1928
Ohki and Inque 2007,0.2572,0.16,2.228342246,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.206
Ohki and Inque 2008,0.2578,0.16,2.226737968,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.2112
Ohki and Inque 2009,0.262,0.16,2.213903743,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.2154
Ohki and Inque 2010,0.2738,0.16,2.178609626,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.2355
Ohki and Inque 2011,0.2861,0.16,2.14171123,0.0007,3,0.174179687,1.18,1.81E-05,28.84,1000,0.001,0.072,0,298,100,0.2577
Kato etal_1973,0.0881,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.13,293,100,0.0191
Kato etal_1973,0.1403,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0311
Kato etal_1973,0.1867,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0398
Kato etal_1973,0.2683,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0528
Kato etal_1973,0.3585,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0711
Kato etal_1973,0.3897,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0987
Kato etal_1973,0.3506,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1322
Kato etal_1973,0.3352,0.122,2,0.001,3,0.651706531,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1748
Kato etal_1973,0.1216,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0313
Kato etal_1973,0.1607,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0453
Kato etal_1973,0.1884,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0607
Kato etal_1973,0.2244,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0861
Kato etal_1973,0.2485,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0991
Kato etal_1973,0.2732,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1298
Kato etal_1973,0.3002,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1629
Kato etal_1973,0.3116,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1748
Kato etal_1973,0.3188,0.122,2,0.002,3,0.510615426,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1934
Kato etal_1973,0.071,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0214
Kato etal_1973,0.0775,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0214
Kato etal_1973,0.0925,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0258
Kato etal_1973,0.1188,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0309
Kato etal_1973,0.1133,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0333
Kato etal_1973,0.13,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0374
Kato etal_1973,0.1551,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.045
Kato etal_1973,0.1956,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0594
Kato etal_1973,0.1899,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0615
Kato etal_1973,0.2239,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.0732
Kato etal_1973,0.2025,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.074
Kato etal_1973,0.2652,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1162
Kato etal_1973,0.2627,0.214,2.04,0.001,3,0.7555245,1.14,1.81E-05,28.84,1030,0.0014,0.074,1.125,293,100,0.1348
Deckwer et al 1974,0.0296,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0095
Deckwer et al 1974,0.042,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0119
Deckwer et al 1974,0.0558,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0156
Deckwer et al 1974,0.0812,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0204
Deckwer et al 1974,0.0861,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.03
Deckwer et al 1974,0.089,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0239
Deckwer et al 1974,0.106,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0302
Deckwer et al 1974,0.1219,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0371
Deckwer et al 1974,0.1213,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0415
Deckwer et al 1974,0.1309,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0453
Deckwer et al 1974,0.1193,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0536
Deckwer et al 1974,0.1297,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0621
Deckwer et al 1974,0.1305,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.07
Deckwer et al 1974,0.141,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0551
Deckwer et al 1974,0.1408,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0782
Deckwer et al 1974,0.152,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0711
Deckwer et al 1974,0.162,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.0799
Deckwer et al 1974,0.1907,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.121
Deckwer et al 1974,0.2135,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,998.943,0.001,0.072,0,289,100,0.1402
Deckwer et al 1974,0.029,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0054
Deckwer et al 1974,0.056,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0123
Deckwer et al 1974,0.065,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0144
Deckwer et al 1974,0.1039,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0228
Deckwer et al 1974,0.123,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0284
Deckwer et al 1974,0.127,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0376
Deckwer et al 1974,0.1349,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0313
Deckwer et al 1974,0.141,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0401
Deckwer et al 1974,0.143,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.458
Deckwer et al 1974,0.1642,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0569
Deckwer et al 1974,0.174,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1014,0.0011,0.0735,0.17,289,100,0.0682
Deckwer et al 1974,0.094,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1006,0.00098,0.073,0.3375,289,100,0.0228
Deckwer et al 1974,0.1,0.2,7.23,0.001,3,0.14,1.12,1.81E-05,28.84,1006,0.00098,0.073,0.3375,289,100,0.0255
